row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
735268,2025-12-22 18:54:29,1STCUS.BO,6.0,,,,,,86400.0,2.0,88.0,88.0,93.0,1.0,1.13,1758153600.0,0.3704,,-0.377,546.0,546.0,555.0,0.02484,0.026619999,,26837088.0,106.22735,1.0,0.011281588,103256144.0,557276.0,1500000.0,0.62872005,0.0,1500000.0,103.096,0.90207183,-0.957,2.7,,-0.4389873,1.0,1758153600.0,BSE,EQUITY,28920190.0,19.466,,482648.0,337.0,337.0,139500000.0,71.0,172.05,9.340007,87.776,5.744,5.744,14935750.0,0.315,10.053,-0.957,-0.719,0.86849,0.0,0.09463,0.27069,88.64,88.0,88.0,93.0,88.64,34.444443,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,93.0,,,,,,none,,4.92,2.6,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),13,12
735269,2025-12-22 18:54:29,20MICRONS.BO,411.0,,,,,,86400.0,2.0,190.25,190.25,196.35,1.25,0.65,1753315200.0,0.070700005,,0.607,706.0,706.0,6181.0,0.09020001,0.14787,69552752.0,984796992.0,217.4495,0.0,0.0,7889716736.0,14074747.0,35286502.0,0.56667,0.00016000001,35286503.0,128.709,1.5127147,0.06,17.67,,-0.17025864,1.25,1753315200.0,BSE,EQUITY,583459968.0,16.503,1175332992.0,1633657984.0,7156.0,7156.0,6870282240.0,158.0,284.1,0.7467344,200.188,0.924,1.782,9200436224.0,35.637,260.792,0.058,-0.039,0.47194,0.12775,0.11436,0.067779996,192.5,190.25,190.25,196.35,192.5,11.018676,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,194.7,,,,,,none,,1.14,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,9,1
735270,2025-12-22 18:54:29,21STCENMGM.BO,10.0,,,,,,86400.0,2.0,47.91,47.91,49.81,2.5,4.18,1721952000.0,0.0,,0.605,1198.0,1198.0,2638.0,-0.13921,-0.28151,186043120.0,-345291008.0,59.07995,0.0,0.0,508027488.0,2995000.0,10500000.0,0.71266,0.0,10500000.0,45.206,1.1018449,,-19.14,,-0.4521593,2.5,1721952000.0,BSE,EQUITY,4825000.0,0.459,-172231008.0,0.0,1989.0,1989.0,523005024.0,38.62,94.25,-3.8518562,45.6804,5.25,7.873,-135780000.0,,-12.936,,,0.0,0.0,1.09396,0.0,48.84,47.91,47.91,49.81,48.84,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,49.81,,,,,,none,,1.99,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),2,2
735271,2025-12-22 18:54:29,360ONE.BO,1207.0,,,,,,86400.0,2.0,1131.45,1120.0,1169.2,12.0,1.05,1761523200.0,0.21700001,3.12,0.308,12551.0,12551.0,27157.0,0.07476,0.16991,-21868011520.0,-26675300352.0,1060.7462,12.0,0.010511102,586605920256.0,257925123.0,405270365.0,0.17469,0.68060994,405270366.0,231.141,5.034589,0.285,27.63,35.58906,-0.07371199,6.0,1761523200.0,BSE,EQUITY,12794300416.0,31.633,25011400704.0,137646702592.0,16528.0,16528.0,471613112320.0,766.05,1317.25,11.9594345,1127.455,0.643,3.157,39434399744.0,147.235,100.2,0.168,0.244,0.72323,0.63425,0.60828996,0.28559,1141.65,1131.45,1120.0,1169.2,1141.65,42.117264,32.698246,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1163.7,1615.0,1220.0,1352.2727,1350.0,1.45455,strong_buy,11.0,1.93,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,10,8
735272,2025-12-22 18:54:29,3IINFOLTD.BO,4552.0,,,,,,86400.0,2.0,16.47,16.36,17.55,,,1309996800.0,0.0,3.81,0.024,109627.0,109627.0,77367.0,-0.017,0.23164,54400000.0,268700000.0,22.16245,0.0,0.0,2763066880.0,161441431.0,207396267.0,0.11883,0.00207,207396267.0,18.252,0.94291025,,3.94,,-0.432319,1.5,1309996800.0,BSE,EQUITY,455400000.0,2.545,-191500000.0,347900000.0,27579.0,27579.0,3569289728.0,15.7,35.0,0.50000554,17.6238,0.869,1.327,7138500096.0,10.763,41.811,,-0.015,0.09585,-0.02683,-0.05867,0.09835,16.23,16.47,16.36,17.55,16.23,4.36802,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,17.21,,,,,,none,,6.04,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),11,10
735273,2025-12-22 18:54:29,3MINDIA.BO,1213.0,,,,,,86400.0,2.0,35299.1,35299.1,35725.0,160.0,0.46,1753401600.0,0.32529998,,-0.085,75.0,75.0,326.0,0.19186,0.33832002,5096061952.0,5931417088.0,30506.93,0.0,0.0,387213852672.0,2649559.0,11265070.0,0.7648,0.09753,11265071.0,1429.572,24.744366,0.43,491.12,652.4,0.13625932,535.0,1753401600.0,BSE,EQUITY,6194625024.0,549.894,8733680640.0,1033188992.0,165.0,165.0,398488961024.0,25714.35,36958.0,8.388102,33368.246,1.525,2.281,47506456576.0,6.416,4217.117,0.43,0.14,0.41501,0.18384,0.19014,0.11665,34830.95,35299.1,35299.1,35725.0,34830.95,72.0269,54.221107,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,35373.85,35700.0,35700.0,35700.0,35700.0,,none,1.0,1.56,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),15,10
735274,2025-12-22 18:54:29,3PLAND.BO,1.0,,,,,,86400.0,2.0,38.0,38.0,39.06,,,1282089600.0,0.0,,-0.3,179.0,179.0,2698.0,,,,5711000.0,44.4995,0.0,0.0,682360000.0,3679200.0,18000000.0,0.80727,0.0,18000000.0,93.033,0.40899467,0.042,1.18,,-0.41998476,0.2,1282089600.0,BSE,EQUITY,2000000.0,0.111,28478000.0,0.0,1494.0,1494.0,684899968.0,35.68,71.07,15.029954,40.6216,0.909,97.364,45569000.0,,2.537,0.038,0.023,1.0,0.62494,0.74719,0.46527,38.02,38.0,38.0,39.06,38.02,32.24576,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,38.05,,,,,,none,,0.08,1.7,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),15,12
735275,2025-12-22 18:54:29,5PAISA.BO,539.0,,,,,,86400.0,2.0,311.5,310.15,324.85,,,,0.0,,0.14,5690.0,5690.0,117157.0,0.02546,0.07865,,-1264254976.0,362.596,0.0,0.0,-196492192.0,10435484.0,31239338.0,0.57308,0.1159,31239338.0,200.815,1.583049,-0.567,15.14,,-0.3378321,,,BSE,EQUITY,12819201024.0,411.006,,2905526016.0,3533.0,3533.0,9930985472.0,287.95,485.0,3.4066994,317.194,6.932,6.992,2915133952.0,46.389,93.304,-0.565,-0.269,0.99968004,0.0,0.18379,0.16217,311.55,311.5,310.15,324.85,311.55,20.997356,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,317.9,,,,,,none,,2.04,1.8,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),19,16
735276,2025-12-22 18:54:29,63MOONS.BO,378.0,,,,,,86400.0,2.0,749.65,749.55,766.2,1.2,0.16,1758067200.0,0.3854,5.9,0.401,3510.0,3510.0,20150.0,-0.04561,-0.01773,-1200462080.0,-1651331968.0,846.85474,0.0,0.0,13221868544.0,18101870.0,46078537.0,0.5798,0.0049900003,46078537.0,757.762,1.004273,,-7.04,,-0.215087,1.2,1758067200.0,BSE,EQUITY,22212327424.0,481.749,-2625664000.0,52994000.0,7286.0,7286.0,35065765888.0,591.0,1130.0,41.57066,780.79,8.641,9.924,843521984.0,0.148,18.306,,-0.466,-0.7051,0.0,-4.61615,-0.36594,748.65,749.65,749.55,766.2,748.65,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,761.0,,,,,,none,,1.65,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,3,2
735277,2025-12-22 18:54:29,7NR.BO,,,,,,,86400.0,4.0,4.46,3.96,4.46,,,1568851200.0,0.0,,-0.255,45480.0,45480.0,49871.0,0.025880001,0.062030002,-30218750.0,-13355000.0,5.14825,0.0,0.0,151528544.0,20941953.0,28006800.0,0.23277001,0.0,28006800.0,10.524,0.38863552,,0.63,,-0.18163675,,,BSE,EQUITY,9597000.0,0.344,18913000.0,46594000.0,23251.0,23251.0,114547816.0,3.63,8.33,0.44482517,4.2292,0.921,3.684,257512000.0,15.849,9.195,,1.688,0.13972999,0.07345,0.10645001,0.06868,4.1,4.46,3.96,4.46,4.1,6.492064,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,4.09,,,,,,none,,-0.24,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),13,5
