row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
66325,2026-02-10 19:46:16,1STCUS.BO,6.0,,,,,,86400.0,2.0,84.0,72.0,84.0,1.0,1.25,1758153600.0,0.3704,,-0.458,369.0,369.0,441.0,0.02484,0.026619999,,26837088.0,97.61595,1.0,0.0125,90419576.0,557276.0,1500000.0,0.60271,0.0,1500000.0,103.096,0.7007061,-0.957,2.7,,-0.46666664,1.0,1758153600.0,BSE,EQUITY,28920190.0,19.466,,482648.0,206.0,206.0,108360000.0,65.0,163.0,7.255076,81.872,5.744,5.744,14935750.0,0.315,10.053,-0.957,-0.719,0.86849,0.0,0.09463,0.27069,80.0,84.0,72.0,84.0,80.0,26.755554,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,72.24,,,,,,none,,-9.7,3.0,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),11,9
66326,2026-02-10 19:46:16,20MICRONS.BO,411.0,,,,,,86400.0,2.0,184.7,180.05,184.7,1.25,0.73,1753315200.0,0.0684,,0.369,7132.0,7132.0,32740.0,,,,,216.672,0.0,0.0,7029148160.0,14445335.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.4109348,0.16,18.27,,-0.106589675,1.25,1753315200.0,BSE,EQUITY,583459968.0,16.541,1173447936.0,1633657984.0,6732.0,6732.0,6408029184.0,158.0,284.1,0.69636244,191.44,,,9202146304.0,35.637,260.903,0.162,0.001,0.47129002,0.12752,0.10623,0.07001,184.15,184.7,180.05,184.7,184.15,9.939792,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,181.6,,,,,,none,,-1.38,4.1,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),3,1
66327,2026-02-10 19:46:16,21STCENMGM.BO,10.0,,,,,,86400.0,2.0,39.99,39.13,40.35,,,1721952000.0,0.0,,0.469,511.0,511.0,2033.0,,,,,56.41985,0.0,0.0,412482976.0,2994329.0,10500000.0,0.72415,0.0,10500000.0,45.206,0.891917,,-21.38,,-0.48403424,2.5,1721952000.0,BSE,EQUITY,4825000.0,0.46,-200763744.0,0.0,990.0,990.0,423360000.0,38.62,81.45,-2.8664868,44.6338,,,-147692992.0,,-14.069,,,0.0,0.0,1.66225,0.0,39.75,39.99,39.13,40.35,39.75,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,40.32,,,,,,none,,1.43,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),14,12
66328,2026-02-10 19:46:16,360ONE.BO,1207.0,,,,,,86400.0,2.0,1139.95,1123.85,1170.9,12.0,1.06,1761523200.0,0.42110002,2.99,0.263,22624.0,22624.0,45976.0,,,,,1099.1906,12.0,0.010556876,585272197120.0,259247885.0,405531961.0,0.17489,0.68675005,405531962.0,231.141,5.0309114,0.184,28.53,35.7386,0.14934278,6.0,1761523200.0,BSE,EQUITY,12794300416.0,31.587,26159175680.0,137646702592.0,44944.0,44944.0,471572840448.0,766.05,1272.95,11.150693,1150.432,,,42290900992.0,147.235,105.875,0.124,0.306,0.72015,0.61855,0.59264,0.27832,1136.7,1139.95,1123.85,1170.9,1136.7,40.75885,32.537647,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1162.85,1700.0,1300.0,1396.7273,1380.0,1.36364,strong_buy,11.0,2.3,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Buy,Trading near its 52-week high (bullish momentum),12,7
66329,2026-02-10 19:46:16,3IINFOLTD.BO,4552.0,,,,,,86400.0,2.0,15.58,15.57,16.35,,,1309996800.0,0.0,3.81,-0.555,75959.0,75959.0,38647.0,-0.017,0.23164,54400000.0,268700000.0,20.9833,0.0,0.0,2646761216.0,161575630.0,207396267.0,0.11883,0.00235,207396267.0,18.252,0.88757396,,3.94,,-0.4336605,1.5,1309996800.0,BSE,EQUITY,455400000.0,2.545,-191500000.0,347900000.0,35623.0,35623.0,3359819776.0,14.43,29.59,0.47066188,15.9196,0.869,1.327,7138500096.0,10.763,41.811,,-0.015,0.09585,-0.02683,-0.05867,0.09835,15.58,15.58,15.57,16.35,15.58,4.1116753,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,16.2,,,,,,none,,3.98,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),12,11
66330,2026-02-10 19:46:16,3MINDIA.BO,1213.0,,,,,,86400.0,2.0,36395.5,36395.5,38008.9,160.0,0.44,1753401600.0,0.32529998,,-0.057,783.0,783.0,170.0,0.19186,0.33832002,5096061952.0,5931417088.0,31607.75,0.0,0.0,405152432128.0,2649559.0,11265070.0,0.7648,0.097600006,11265071.0,1429.572,26.367054,0.43,491.72,652.4,0.32185137,535.0,1753401600.0,BSE,EQUITY,6194625024.0,549.894,8733680640.0,1033188992.0,152.0,152.0,424621113344.0,25714.35,38008.9,8.938177,34826.91,1.525,2.281,47506456576.0,6.416,4217.117,0.43,0.14,0.41501,0.18384,0.19014,0.11665,36423.35,36395.5,36395.5,38008.9,36423.35,76.65664,57.776825,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,37693.6,35700.0,35700.0,35700.0,35700.0,,none,1.0,3.49,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),15,9
66331,2026-02-10 19:46:16,3PLAND.BO,1.0,,,,,,86400.0,2.0,37.0,34.4,37.0,,,1282089600.0,0.0,,-0.623,243.0,243.0,2492.0,,,,,43.71685,0.0,0.0,649272704.0,3745818.0,18000000.0,0.80564004,0.0,18000000.0,93.033,0.37889782,0.039,1.19,,-0.23787236,0.2,1282089600.0,BSE,EQUITY,2000000.0,0.11,28110500.0,0.0,349.0,349.0,634499968.0,30.79,58.69,13.832871,36.8402,,,45869000.0,,2.564,0.048,0.041,1.0,0.61284,0.54639,0.46441,35.82,37.0,34.4,37.0,35.82,29.621847,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,35.25,,,,,,none,,-1.59,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),16,11
66332,2026-02-10 19:46:16,5PAISA.BO,539.0,,,,,,86400.0,2.0,350.7,338.3,350.7,,,,0.0,,0.231,1841.0,1841.0,104256.0,,,,,361.45325,0.0,0.0,700192704.0,10262986.0,31251838.0,0.64777,0.115880005,31251839.0,200.815,1.6906108,-0.24,13.91,,-0.10088587,,,BSE,EQUITY,12819201024.0,410.645,,2905526016.0,5058.0,5058.0,10609999872.0,287.95,431.8,3.7525616,339.564,,,2827401984.0,46.389,90.503,-0.237,-0.11,0.99967,0.0,0.23244,0.15349,340.0,350.7,338.3,350.7,340.0,24.406902,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,339.5,,,,,,none,,-0.15,1.8,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,22,17
66333,2026-02-10 19:46:16,63MOONS.BO,378.0,,,,,,86400.0,2.0,712.05,700.05,731.45,1.2,0.17,1758067200.0,0.3854,5.9,0.372,14673.0,14673.0,21029.0,-0.04561,-0.01773,-1200462080.0,-1651331968.0,834.9338,0.0,0.0,11449028608.0,18095415.0,46078537.0,0.5798,0.0050700004,46078537.0,757.762,0.95293766,,-7.03,,-0.019196272,1.2,1758067200.0,BSE,EQUITY,22212327424.0,481.749,-2625664000.0,52994000.0,12775.0,12775.0,33273309184.0,575.05,1130.0,39.445694,712.328,8.641,9.924,843521984.0,0.148,18.306,,-0.466,-0.7051,0.0,-4.61615,-0.36594,710.2,712.05,700.05,731.45,710.2,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,722.1,,,,,,none,,1.68,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,3,2
66334,2026-02-10 19:46:16,7NR.BO,,,,,,,86400.0,4.0,4.1,3.88,4.1,,,1568851200.0,0.0,,-0.473,22405.0,22405.0,31587.0,0.025880001,0.062030002,-30218750.0,-13355000.0,5.10545,0.0,0.0,147617712.0,21073804.0,28006800.0,0.22363001,0.0,28006800.0,10.524,0.37343216,,0.63,,-0.12195122,,,BSE,EQUITY,9597000.0,0.344,18913000.0,46594000.0,33739.0,33739.0,110066728.0,3.38,8.33,0.4274237,3.9422,0.921,3.684,257512000.0,15.849,9.195,,1.688,0.13972999,0.07345,0.10645001,0.06868,3.96,4.1,3.88,4.1,3.96,6.2380953,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,3.93,,,,,,none,,-0.76,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),13,4
